Sample size=10 Random_seed=0, Best_l1_ratio=0.5, AUPR=0.5 AUORC=0.5
Sample size=10 Random_seed=2, Best_l1_ratio=0.001, AUPR=0.5 AUORC=0.5
Sample size=10 Random_seed=4, Best_l1_ratio=0.001, AUPR=0.5 AUORC=0.5
Sample size=10 Random_seed=6, Best_l1_ratio=0.001, AUPR=0.5 AUORC=0.5
Sample size=10 Random_seed=8, Best_l1_ratio=0.3, AUPR=nan AUORC=0
Sample size=10 Random_seed=10, Best_l1_ratio=0.3, AUPR=0.5 AUORC=0.5
Sample size=50 Random_seed=0, Best_l1_ratio=0.001, AUPR=0.2 AUORC=0.5
Sample size=50 Random_seed=2, Best_l1_ratio=0.001, AUPR=0.2 AUORC=0.5
Sample size=50 Random_seed=4, Best_l1_ratio=0.001, AUPR=0.5 AUORC=0.5
Sample size=50 Random_seed=6, Best_l1_ratio=0.001, AUPR=0.2 AUORC=0.5
Sample size=50 Random_seed=8, Best_l1_ratio=0.001, AUPR=0.3 AUORC=0.5
Sample size=50 Random_seed=10, Best_l1_ratio=0.001, AUPR=0.2 AUORC=0.5
Sample size=100 Random_seed=0, Best_l1_ratio=0.001, AUPR=0.722 AUORC=0.643
Sample size=100 Random_seed=2, Best_l1_ratio=0.001, AUPR=0.841 AUORC=0.819
Sample size=100 Random_seed=4, Best_l1_ratio=0.1, AUPR=0.765 AUORC=0.709
Sample size=100 Random_seed=6, Best_l1_ratio=0.001, AUPR=0.979 AUORC=0.964
Sample size=100 Random_seed=8, Best_l1_ratio=0.001, AUPR=1.0 AUORC=1.0
Sample size=100 Random_seed=10, Best_l1_ratio=0.9, AUPR=0.933 AUORC=0.917
Sample size=500 Random_seed=0, Best_l1_ratio=0.001, AUPR=0.63 AUORC=0.5
Sample size=500 Random_seed=2, Best_l1_ratio=0.5, AUPR=0.652 AUORC=0.546
Sample size=500 Random_seed=4, Best_l1_ratio=0.001, AUPR=0.64 AUORC=0.5
Sample size=500 Random_seed=6, Best_l1_ratio=0.3, AUPR=0.69 AUORC=0.5
Sample size=500 Random_seed=8, Best_l1_ratio=0.001, AUPR=0.63 AUORC=0.5
Sample size=500 Random_seed=10, Best_l1_ratio=0.001, AUPR=0.66 AUORC=0.5
Sample size=1000 Random_seed=0, Best_l1_ratio=0.5, AUPR=0.858 AUORC=0.856
Sample size=1000 Random_seed=2, Best_l1_ratio=0.1, AUPR=0.854 AUORC=0.851
Sample size=1000 Random_seed=4, Best_l1_ratio=0.001, AUPR=0.873 AUORC=0.823
Sample size=1000 Random_seed=6, Best_l1_ratio=0.7, AUPR=0.853 AUORC=0.832
Sample size=1000 Random_seed=8, Best_l1_ratio=0.1, AUPR=0.772 AUORC=0.793
Sample size=1000 Random_seed=10, Best_l1_ratio=0.1, AUPR=0.796 AUORC=0.787
Sample size=5000 Random_seed=0, Best_l1_ratio=0.001, AUPR=0.581 AUORC=0.75
Sample size=5000 Random_seed=2, Best_l1_ratio=0.1, AUPR=0.533 AUORC=0.737
Sample size=5000 Random_seed=4, Best_l1_ratio=0.01, AUPR=0.565 AUORC=0.752
Sample size=5000 Random_seed=6, Best_l1_ratio=0.001, AUPR=0.574 AUORC=0.746
Sample size=5000 Random_seed=8, Best_l1_ratio=1, AUPR=0.586 AUORC=0.749
Sample size=5000 Random_seed=10, Best_l1_ratio=0.3, AUPR=0.606 AUORC=0.748
Sample size=7500 Random_seed=0, Best_l1_ratio=0.001, AUPR=0.631 AUORC=0.803
Sample size=7500 Random_seed=2, Best_l1_ratio=0.01, AUPR=0.609 AUORC=0.79
Sample size=7500 Random_seed=4, Best_l1_ratio=0.001, AUPR=0.611 AUORC=0.793
Sample size=7500 Random_seed=6, Best_l1_ratio=0.001, AUPR=0.636 AUORC=0.787
Sample size=7500 Random_seed=8, Best_l1_ratio=1, AUPR=0.646 AUORC=0.793
Sample size=7500 Random_seed=10, Best_l1_ratio=0.5, AUPR=0.621 AUORC=0.786
Sample size=10000 Random_seed=0, Best_l1_ratio=0.3, AUPR=0.863 AUORC=0.905
Sample size=10000 Random_seed=2, Best_l1_ratio=0.5, AUPR=0.863 AUORC=0.909
Sample size=10000 Random_seed=4, Best_l1_ratio=0.7, AUPR=0.84 AUORC=0.897
Sample size=10000 Random_seed=6, Best_l1_ratio=0.5, AUPR=0.861 AUORC=0.906
Sample size=10000 Random_seed=8, Best_l1_ratio=0.5, AUPR=0.862 AUORC=0.911
Sample size=10000 Random_seed=10, Best_l1_ratio=0.3, AUPR=0.865 AUORC=0.909
